Radius,Simulated,Theoretical,STDEV
718,262.876,290.412,211.642
719,298.941,291.221,230.242
720,291.259,292.032,217.173
721,306.421,292.844,244.131
722,315.624,293.656,262.332
723,305.972,294.47,236.788
724,293.118,295.286,226.187
725,300.457,296.102,238.414
726,275.641,296.919,219.41
727,296.507,297.738,233.578
728,306.488,298.557,228.648
729,301.393,299.378,240.098
730,328.854,300.2,277.42
731,312.02,301.023,237.574
732,297.207,301.847,217.477
733,306.377,302.673,248.07
734,288.145,303.499,227.508
735,297.052,304.327,240.885
736,316.358,305.155,245.813
737,310.92,305.985,241.213
738,334.255,306.816,280.418
739,323.894,307.648,242.768
740,307.005,308.481,234.635
741,309.069,309.315,241.801
742,284.139,310.151,223.935
743,310.827,310.987,255.33
744,315.766,311.825,240.773
745,324.546,312.664,251.009
746,343.445,313.504,282.129
747,315.114,314.345,243.935
748,322.6,315.187,249.808
749,312.257,316.03,242.381
750,283.109,316.875,226.556
751,332.135,317.72,263.782
752,315.925,318.567,239.29
753,347.078,319.415,267.358
754,332.759,320.264,279.316
755,325.807,321.114,250.48
756,318.225,321.965,257.075
757,308.366,322.817,242.197
758,307.097,323.671,248.634
759,330.364,324.525,260.877
760,327.67,325.381,242.814
761,363.31,326.238,300.068
762,338.897,327.096,261.738
763,331.382,327.955,269.548
764,306.952,328.815,236.52
765,302.343,329.677,240.671
766,338.458,330.539,262.094
767,332.594,331.403,244.657
768,362.88,332.267,285.384
769,347.88,333.133,291.938
770,334.629,334,249.557
771,326.007,334.868,273.595
772,313.443,335.737,248.321
773,332.093,336.608,259.269
774,337.084,337.479,243.856
775,356.992,338.352,279.481
776,354.348,339.226,290.977
777,355.093,340.1,282.093
778,322.761,340.976,260.666
779,327.8,341.854,258.261
780,329.201,342.732,252.086
781,350.855,343.611,267.191
782,355.631,344.492,273.781
783,373.393,345.373,310.958
784,349.8,346.256,272.83
785,337.998,347.14,280.455
786,332.895,348.025,265.164
787,334.434,348.911,252.582
788,356.253,349.798,268.963
789,365.494,350.687,279.454
790,381.15,351.576,313.629
791,359.849,352.467,289.02
792,333.526,353.359,269.216
793,342.935,354.251,271.107
794,343.631,355.145,266.365
795,357.57,356.041,259.589
796,379.684,356.937,286.774
797,379.958,357.834,318.395
798,370.568,358.733,285.002
799,342.977,359.632,285.922
800,334.548,360.533,264.567
801,356.107,361.435,275.821
802,378.792,362.338,269.705
803,398.333,363.242,307.932
804,380.052,364.147,318.07
805,353.766,365.054,259.636
806,364.998,365.961,304.205
807,327.71,366.87,252.457
808,384.343,367.78,288.461
809,369.703,368.691,271.534
810,412.085,369.603,335.644
811,370.802,370.516,289.182
812,371.217,371.43,300.848
813,353.309,372.346,278.347
814,360.854,373.262,275.772
815,383.709,374.18,282.335
816,401.491,375.099,296.357
817,398.629,376.019,328.35
818,376.81,376.94,282.073
819,370.182,377.862,313.997
820,343.299,378.785,265.648
821,392.429,379.71,296.182
822,382.46,380.635,279.411
823,419.869,381.562,341.753
824,395.113,382.49,296.194
825,363.961,383.419,296.82
826,367.285,384.349,279.854
827,377.88,385.28,300.404
828,397.011,386.212,283.255
829,406.914,387.146,314.679
830,421.632,388.08,332.527
831,381.268,389.016,307.182
832,362.447,389.953,280.838
833,374.928,390.891,286.861
834,390.303,391.83,294.105
835,421.927,392.77,312.249
